trade_date,spot,ivol,tau,option_price,delta,gamma,theta,vega,target_qty,current_qty,diff_qty,cash_position,portfolio_value,option_liability,replication_error,realized_pnl,unrealized_pnl,action
5 October 2025,576.821087,24.491642,1.202740,65.481059,0.575002,0.002529,-0.101968,2.478964,57.500209,57.500209,57.500209,-16619.227449,16548.105892,6548.105892,10000.000000,0.000000,0.000000,INIT
6 October 2025,572.791577,24.491642,1.200000,63.083581,0.564522,0.002562,-0.101157,2.470399,56.452215,57.500209,0.000000,-16621.276521,16314.359153,6308.358099,10006.001054,4.768101,-231.697667,HOLD
7 October 2025,582.949090,24.491642,1.197260,68.845243,0.589966,0.002488,-0.103401,2.479708,58.996562,57.500209,0.000000,-16623.325846,16896.368913,6884.524302,10011.844611,9.378553,352.361417,HOLD
8 October 2025,586.523968,24.491642,1.194521,70.866010,0.598625,0.002463,-0.104172,2.478813,59.862482,57.500209,0.000000,-16625.375423,17099.875562,7086.601015,10013.274546,9.575232,557.917644,HOLD
9 October 2025,585.615635,24.491642,1.191781,70.219231,0.596195,0.002473,-0.104089,2.475966,59.619524,57.500209,0.000000,-16627.425254,17045.596403,7021.923106,10023.673297,18.740574,505.688315,HOLD
10 October 2025,578.799136,24.491642,1.189041,66.110382,0.578940,0.002530,-0.102812,2.468433,57.893979,57.500209,0.000000,-16629.475336,16651.596187,6611.038235,10040.557952,34.391668,113.738182,HOLD
11 October 2025,575.178975,24.491642,1.186301,63.929099,0.569508,0.002561,-0.102110,2.461225,56.950777,57.500209,0.000000,-16631.525672,16441.385874,6392.909874,10048.475999,41.076003,-94.421795,HOLD
12 October 2025,560.568589,24.491642,1.183562,55.786801,0.531081,0.002663,-0.098583,2.425569,53.108097,57.500209,0.000000,-16633.576261,15599.235019,5578.680093,10020.554926,11.921064,-934.522062,HOLD
13 October 2025,553.955900,24.491642,1.180822,52.236678,0.513050,0.002705,-0.096795,2.400187,51.305039,57.500209,0.000000,-16635.627102,15216.953150,5223.667756,9993.285394,-16.582486,-1314.753090,HOLD
14 October 2025,556.772728,24.491642,1.178082,53.594918,0.520363,0.002692,-0.097681,2.407740,52.036251,57.500209,0.000000,-16637.678196,15376.870259,5359.491758,10017.378501,6.276452,-1152.784886,HOLD
15 October 2025,555.658554,24.491642,1.175342,52.919416,0.517071,0.002701,-0.097436,2.401057,51.707150,57.500209,0.000000,-16639.729543,15310.753684,5291.941620,10018.812065,6.475694,-1216.850114,HOLD
16 October 2025,556.250169,24.491642,1.172603,53.128152,0.518382,0.002701,-0.097681,2.400459,51.838181,57.500209,0.000000,-16641.781143,15342.720091,5312.815236,10029.904855,16.334011,-1182.832107,HOLD
17 October 2025,553.231759,24.491642,1.169863,51.478959,0.509905,0.002721,-0.096872,2.386441,50.990507,57.500209,0.000000,-16643.832996,15167.109024,5147.895925,10019.213100,4.407630,-1356.391321,HOLD
18 October 2025,553.412067,24.491642,1.167123,51.473981,0.510098,0.002724,-0.096999,2.384393,51.009817,57.500209,0.000000,-16645.885102,15175.424683,5147.398101,10028.026582,11.986334,-1346.023557,HOLD
19 October 2025,552.602258,24.491642,1.164384,50.964999,0.507590,0.002731,-0.096830,2.378440,50.758999,57.500209,0.000000,-16647.937461,15126.808143,5096.499909,10030.308234,13.033056,-1392.587738,HOLD
20 October 2025,548.871462,24.491642,1.161644,48.994618,0.497051,0.002753,-0.095754,2.359964,49.705092,57.500209,0.000000,-16649.990073,14910.233947,4899.461763,10010.772184,-7.738077,-1607.109321,HOLD
21 October 2025,543.518453,24.491642,1.158904,46.279409,0.481913,0.002781,-0.094094,2.331855,48.191338,57.500209,0.000000,-16652.042938,14600.381974,4627.940916,9972.441057,-47.304439,-1914.908430,HOLD
22 October 2025,545.089890,24.491642,1.156164,46.945491,0.485951,0.002777,-0.094680,2.336784,48.595100,57.500209,0.000000,-16654.096056,14688.686797,4694.549099,9994.137698,-26.843186,-1824.550489,HOLD
23 October 2025,544.870273,24.491642,1.153425,46.744193,0.485012,0.002782,-0.094675,2.332873,48.501213,57.500209,0.000000,-16656.149427,14674.005380,4674.419324,9999.586057,-22.630366,-1837.178534,HOLD
24 October 2025,545.888382,24.491642,1.150685,47.144386,0.487516,0.002780,-0.095078,2.334960,48.751554,57.500209,0.000000,-16658.203052,14730.493229,4714.438586,10016.054642,-7.397472,-1778.637061,HOLD
25 October 2025,545.178513,24.491642,1.147945,46.704135,0.485211,0.002787,-0.094914,2.328686,48.521135,48.521135,-8.979074,-11765.058662,14687.621770,4670.413537,10017.208233,-7.479726,-1535.333624,SELL
26 October 2025,553.184221,24.491642,1.145205,50.580016,0.507066,0.002751,-0.097524,2.361312,50.706640,48.521135,0.000000,-11766.509238,15074.617206,5058.001576,10016.615631,-9.308325,-1146.887611,HOLD
27 October 2025,566.934947,24.491642,1.142466,57.708750,0.544090,0.002672,-0.101474,2.402712,54.409027,48.521135,0.000000,-11767.959993,15740.367295,5770.875031,9969.492264,-57.667841,-479.686768,HOLD
28 October 2025,563.155698,24.491642,1.139726,55.571123,0.533675,0.002700,-0.100555,2.389945,53.367484,48.521135,0.000000,-11769.410927,15555.542920,5557.112251,9998.430670,-29.965736,-663.060209,HOLD
29 October 2025,571.316177,24.491642,1.136986,59.912759,0.555241,0.002648,-0.102748,2.406988,55.524122,48.521135,0.000000,-11770.862039,15950.047521,5991.275868,9958.771653,-70.861207,-267.104495,HOLD
30 October 2025,556.691490,24.491642,1.134247,51.980413,0.515506,0.002745,-0.098882,2.363470,51.550636,48.521135,0.000000,-11772.313331,15238.989824,5198.041256,10040.948568,10.079102,-976.710901,HOLD
31 October 2025,548.913898,24.491642,1.131507,47.957956,0.493670,0.002789,-0.096556,2.329100,49.366972,48.521135,0.000000,-11773.764801,14860.160758,4795.795619,10064.365139,32.258914,-1354.088496,HOLD
1 November 2025,554.445289,24.491642,1.128767,50.632844,0.508718,0.002765,-0.098364,2.349455,50.871846,48.521135,0.000000,-11775.216451,15127.098475,5063.284355,10063.814120,30.470984,-1085.699130,HOLD
2 November 2025,557.125645,24.491642,1.126027,51.907096,0.515813,0.002753,-0.099247,2.356657,51.581316,48.521135,0.000000,-11776.668280,15255.700564,5190.709592,10064.990971,30.410771,-955.645212,HOLD
3 November 2025,565.277009,24.491642,1.123288,56.101020,0.537788,0.002707,-0.101630,2.379375,53.778781,48.521135,0.000000,-11778.120287,15649.761985,5610.102047,10039.659938,3.842521,-560.131784,HOLD
4 November 2025,556.967672,24.491642,1.120548,51.627086,0.514784,0.002761,-0.099359,2.350482,51.478385,48.521135,0.000000,-11779.572474,15245.131335,5162.708627,10082.422708,45.367923,-963.310247,HOLD
5 November 2025,554.238772,24.491642,1.117808,50.134019,0.506921,0.002779,-0.098612,2.337358,50.692131,48.521135,0.000000,-11781.024839,15111.269639,5013.401897,10097.867741,59.575435,-1095.719578,HOLD
6 November 2025,549.280380,24.491642,1.115068,47.557697,0.492751,0.002808,-0.097116,2.313573,49.275132,48.521135,0.000000,-11782.477384,14869.230299,4755.769740,10113.460559,73.930579,-1336.306373,HOLD
7 November 2025,553.302527,24.491642,1.112329,49.463837,0.503693,0.002791,-0.098477,2.327934,50.369282,48.521135,0.000000,-11783.930108,15062.936706,4946.383713,10116.552993,75.785186,-1141.147242,HOLD
8 November 2025,550.826994,24.491642,1.109589,48.127764,0.496446,0.002807,-0.097768,2.314670,49.644566,48.521135,0.000000,-11785.383010,14941.368104,4812.776446,10128.591658,86.585872,-1261.262941,HOLD
9 November 2025,541.207850,24.491642,1.106849,43.388396,0.468878,0.002852,-0.094580,2.264614,46.887821,48.521135,0.000000,-11786.836092,14473.183257,4338.839584,10134.343673,91.099755,-1727.994707,HOLD
10 November 2025,541.692616,24.491642,1.104110,43.521241,0.469906,0.002854,-0.094821,2.264285,46.990596,48.521135,0.000000,-11788.289354,14495.251403,4352.124092,10143.127311,98.645108,-1704.473299,HOLD
11 November 2025,538.520768,24.491642,1.101370,41.951433,0.460471,0.002868,-0.093744,2.243573,46.047086,48.521135,0.000000,-11789.742794,14339.896264,4195.143289,10144.752975,99.032335,-1858.374997,HOLD
12 November 2025,546.894952,24.491642,1.098630,45.810985,0.484022,0.002839,-0.096768,2.285026,48.402173,48.521135,0.000000,-11791.196413,14744.767576,4581.098459,10163.669117,116.709888,-1452.050066,HOLD
13 November 2025,545.683265,24.491642,1.095890,45.130196,0.480235,0.002848,-0.096428,2.276150,48.023464,48.521135,0.000000,-11792.650212,14684.521357,4513.019627,10171.501730,123.303758,-1510.842486,HOLD
